Precio Interno ,Fecha
311.250,29-jul-04
303.875,30-jul-04
303.875,31-jul-04
303.875,01-ago-04
303.875,02-ago-04
316.250,03-ago-04
315.875,04-ago-04
309.750,05-ago-04
308.000,06-ago-04
308.000,07-ago-04
308.000,08-ago-04
306.375,09-ago-04
310.500,10-ago-04
310.000,11-ago-04
304.500,12-ago-04
303.875,13-ago-04
303.875,14-ago-04
303.875,15-ago-04
315.250,16-ago-04
318.250,17-ago-04
308.875,18-ago-04
311.375,19-ago-04
308.375,20-ago-04
308.375,21-ago-04
308.375,22-ago-04
344.125,23-ago-04
342.000,24-ago-04
340.625,25-ago-04
343.500,26-ago-04
342.500,27-ago-04
342.500,28-ago-04
342.500,29-ago-04
331.125,30-ago-04
330.125,31-ago-04
338.500,01-sep-04
341.375,02-sep-04
322.500,03-sep-04
322.500,04-sep-04
322.500,05-sep-04
322.500,06-sep-04
314.750,07-sep-04
313.125,08-sep-04
322.000,09-sep-04
330.125,10-sep-04
330.125,11-sep-04
330.125,12-sep-04
336.750,13-sep-04
337.250,14-sep-04
339.375,15-sep-04
346.750,16-sep-04
358.875,17-sep-04
358.875,18-sep-04
358.875,19-sep-04
359.125,20-sep-04
367.875,21-sep-04
377.750,22-sep-04
375.125,23-sep-04
390.875,24-sep-04
390.875,25-sep-04
390.875,26-sep-04
400.875,27-sep-04
377.500,28-sep-04
382.750,29-sep-04
385.125,30-sep-04
378.375,01-oct-04
378.375,02-oct-04
378.375,03-oct-04
357.375,04-oct-04
362.000,05-oct-04
362.000,06-oct-04
361.125,07-oct-04
355.500,08-oct-04
355.500,09-oct-04
355.500,10-oct-04
346.875,11-oct-04
339.125,12-oct-04
332.750,13-oct-04
332.625,14-oct-04
343.125,15-oct-04
343.125,16-oct-04
343.125,17-oct-04
340.250,18-oct-04
335.250,19-oct-04
338.625,20-oct-04
347.750,21-oct-04
346.625,22-oct-04
346.625,23-oct-04
346.625,24-oct-04
352.000,25-oct-04
349.000,26-oct-04
354.125,27-oct-04
350.000,28-oct-04
350.000,29-oct-04
350.000,30-oct-04
350.000,31-oct-04
340.125,01-nov-04
